14.9, 87.05
16.1, 89.95
21.15, 92.7
29.05, 93.5
34.6, 93.25
41.2, 91.5
44.75, 89.45
47.1, 87.35
44.15, 92.45
41.05, 94.15
38.3, 96.5
33.8, 96.5
28.15, 96.7
22.9, 96.95
18.3, 96.25
16.95, 94.75
13.4, 93.6
13, 89.5
9.55, 86.1
12.1, 83.85
11.2, 89.55
11.05, 92.35
9.35, 90.7
14.65, 96
13.1, 98.2
10.05, 95.9
18, 92.1
21.65, 99.15
16.05, 99.1
26.2, 94.25
20.85, 94.7
24.45, 91.6
30.8, 91.9
31.05, 99
25.55, 98.75
36.25, 99.55
37, 93.85
38.45, 91.65
42.9, 97.75
38.75, 98.15
44.65, 94.9
46.45, 90.55
44.25, 86.9
41.2, 88.9
31.8, 94.2
27.7, 91.8
20.6, 90.35
17.45, 87.45
15.05, 84.5
12.15, 86.1
7.95, 89.1
49.3, 94.2
50.25, 85.15
49.2, 90.1
46.7, 83.1
52.5, 89.6
51.75, 92.15
52.4, 84.9
51.45, 82.65
29.5, 83.8
29.5, 83.8
25.7, 79.7
31.65, 72.9
33.3, 78.65
30.5, 77.8
30.25, 81.55
28.6, 75.65
37.3, 72.8
35.55, 66.3
28.75, 68.5
43.65, 68.7
48.95, 68.65
53.4, 69.4
52.2, 64
48.2, 62.6
42.3, 62.9
40.9, 65.95
37.05, 63.3
44.3, 57.7
50.25, 57.7
57.75, 57.75
51.25, 61.25
50.15, 65.3
45.8, 65.3
45.8, 59.7
40.85, 59.7
37.3, 69.9
33.3, 69.9
33.25, 62.2
37.45, 61.65
33.2, 67
56.6, 61.3
56.35, 66.5
56.2, 60.8
53.7, 58.4
59.7, 59.9
60.95, 64.7
59.5, 67.15
59.8, 69.3
67.3, 68.75
64.05, 61.05
66, 63.85
63.7, 66.15
71.15, 64.5
73.05, 68.35
75.75, 70
79.65, 73.55
79.65, 71.05
79.45, 66.45
76.05, 66.45
75.05, 63.1
70.1, 60.4
68.9, 61.15
72.35, 73.4
78.25, 75.45
80.3, 78.15
82.75, 75.55
82.15, 71.15
82.85, 68.05
86.9, 71.95
86.9, 74.8
86.9, 78.8
83.9, 79.9
89, 80.6
89.55, 76.3
89.95, 71.9
91.9, 74.7
92.95, 78.2
92.45, 81.8
89.55, 82.45
86.9, 82.45
38.35, 66.55
29.1, 70.95
30.7, 66.4
34.8, 74.1
44.75, 62.4
43.4, 60.55
40.4, 61.3
55.35, 64.2
59.45, 63.4
53.35, 61.35
52.8, 66.7
46.75, 66.95
48.35, 64.3
46.1, 62.55
38.75, 64.25
63.85, 63.55
62.15, 62.6
68.65, 63.4
68.65, 66.4
74.25, 65.15
71.25, 67.95
75.5, 72.9
79.3, 68.6
86.75, 61.6
84.3, 71.7
95.4, 59.75
79, 56.75
78.4, 84.25
90.85, 86
95.15, 77.65
86.95, 69.05
81.95, 64.6
63.9, 57.55
48.65, 60
27.05, 72.5
26.45, 76.75
6.8, 85.35
7.95, 81.85
12.15, 81.55
6.2, 77.3
5.65, 82
8.4, 78.95
30.4, 96.1
24.2, 95.1
45.8, 96.5
50.25, 87.5
50.25, 82.85
48.65, 82.1
53.3, 87.9
53.95, 83.15
35.95, 95.55
34.1, 99.9
47, 93.7
4.1, 73.4
2.85, 69.1
55.1, 81.9
57.6, 85.05
53.6, 85.45
55.8, 87.1
60.8, 79.15
29.25, 79.05
30.1, 75.25
33.35, 75.2
29.35, 73.3
30.65, 69.6
35.2, 71.55
43.4, 66.35
62.45, 60.6
72.8, 62.3
84.55, 73.75
73.6, 71.6
84.7, 77.15
90.85, 78.45
97.6, 81.15
48.7, 85.35
52.15, 77.4
12.8, 95.5
48.8, 91.75
14.6, 92.05
5.15, 88.75
3.7, 83.8
